T,C
100.0,2.7693299060378707e-17
104.04040404040404,8.648928632454255e-17
108.08080808080808,2.4819924949253604e-16
112.12121212121212,6.604085038998554e-16
116.16161616161617,1.6420421369197683e-15
120.20202020202021,3.841065819028093e-15
124.24242424242425,8.503041416820736e-15
128.2828282828283,1.790575764611358e-14
132.32323232323233,3.6031074845552124e-14
136.36363636363637,6.95612121951559e-14
140.40404040404042,1.2930152884157783e-13
144.44444444444446,2.321438795512708e-13
148.4848484848485,4.0369241790154847e-13
152.5252525252525,6.816760824999279e-13
156.56565656565655,1.1202681201393887e-12
160.6060606060606,1.7954225184040843e-12
164.64646464646464,2.8113202662092527e-12
168.68686868686868,4.30799551732066e-12
172.72727272727272,6.470183969869275e-12
176.76767676767676,9.537404355793529e-12
180.8080808080808,1.3815250299108141e-11
184.84848484848484,1.9687835459074318e-11
188.88888888888889,2.7631301295573237e-11
192.92929292929293,3.822826532794376e-11
196.96969696969697,5.218305956467099e-11
201.010101010101,7.033758478593019e-11
205.05050505050505,9.368758723483346e-11
209.0909090909091,1.233991504279039e-10
213.13131313131314,1.6082518639539774e-10
217.17171717171718,2.0752170764895316e-10
221.21212121212122,2.6526366329770574e-10
225.25252525252526,3.360601295892727e-10
229.2929292929293,4.221686562165456e-10
233.33333333333334,5.261085844021317e-10
237.37373737373738,6.506731704004609e-10
241.41414141414143,7.989403679780192e-10
245.45454545454547,9.742821449895298e-10
249.4949494949495,1.1803722317374186e-9
253.53535353535352,1.4211922218051576e-9
257.57575757575756,1.7010359689716807e-9
261.6161616161616,2.0245122461884146e-9
265.65656565656565,2.396545654046018e-9
269.6969696969697,2.8223757863572277e-9
273.73737373737373,3.3075546791858938e-9
277.77777777777777,3.8579425866745244e-9
281.8181818181818,4.479702142237589e-9
285.85858585858585,5.179290977021893e-9
289.8989898989899,5.963452878962996e-9
293.93939393939394,6.8392075853020776e-9
297.979797979798,7.81383930911929e-9
302.020202020202,8.894884106363506e-9
306.06060606060606,1.0090116194112175e-8
310.1010101010101,1.1407533333493634e-8
314.14141414141415,1.2855341391972546e-8
318.1818181818182,1.4441938199671685e-8
322.22222222222223,1.6175896813215003e-8
326.26262626262627,1.806594829836797e-8
330.3030303030303,2.012096413965301e-8
334.34343434343435,2.2349938381265268e-8
338.3838383838384,2.4761969599129062e-8
342.42424242424244,2.736624279893813e-8
346.4646464646465,3.017201132962062e-8
350.5050505050505,3.3188578895968745e-8
354.54545454545456,3.642528174825834e-8
358.5858585858586,3.989147112064454e-8
362.62626262626264,4.359649598403034e-8
366.6666666666667,4.7549686173023954e-8
370.7070707070707,5.176033594059392e-8
374.74747474747477,5.623768798814398e-8
378.7878787878788,6.099091801299882e-8
382.82828282828285,6.602911980976369e-8
386.8686868686869,7.136129095670907e-8
390.90909090909093,7.699631911326893e-8
394.949494949495,8.294296894994247e-8
398.989898989899,8.920986972736326e-8
403.030303030303,9.580550353705342e-8
407.07070707070704,1.0273819421242832e-7
411.1111111111111,1.1001609691494503e-7
415.1515151515151,1.1764718839690649e-7
419.19191919191917,1.2563925793932546e-7
423.2323232323232,1.3399989896043508e-7
427.27272727272725,1.4273650128785862e-7
431.3131313131313,1.518562440851569e-7
435.35353535353534,1.6136608942141149e-7
439.3939393939394,1.712727764706762e-7
443.4343434343434,1.8158281632653953e-7
447.47474747474746,1.9230248741564205e-7
451.5151515151515,2.034378314928183e-7
455.55555555555554,2.1499465019951377e-7
459.5959595959596,2.26978502166312e-7
463.6363636363636,2.393947006397358e-7
467.67676767676767,2.5224831161295885e-7
471.7171717171717,2.65544152439692e-7
475.75757575757575,2.792867909102528e-7
479.7979797979798,2.934805447686698e-7
483.83838383838383,3.081294816496592e-7
487.8787878787879,3.23237419414341e-7
491.9191919191919,3.3880792686373426e-7
495.95959595959596,3.5484432480924213e-7
500.0,3.713496874796794e-7
